parcel_id,latitude,longitude
010260009,40.3875603,-111.8480404
010260010,40.3875918,-111.8486061
010580002,40.3910189,-111.8440285
010130004,40.384523,-111.8503056
010130005,40.3847708,-111.8503159
010130006,40.3851557,-111.8503342
010130007,40.3851652,-111.8500106
010130009,40.3850604,-111.8493622
010130010,40.3853098,-111.8493745
010270007,40.387194,-111.8502071
010270009,40.38751,-111.850053
010270010,40.3875003,-111.8504264
010270011,40.3875055,-111.8502122
010270012,40.3876108,-111.8494643
010400001,40.388879,-111.8440431
010400002,40.3889017,-111.8431302
010400011,40.388506,-111.8435961
010600004,40.3923815,-111.8456317
010600005,40.3921509,-111.844808
010600006,40.3922643,-111.845139
010600007,40.3917631,-111.8454016
010600008,40.3916483,-111.8447846
010600011,40.391898,-111.8447915
010600012,40.3916333,-111.8457462
010600013,40.3918844,-111.8457532
010610002,40.3923529,-111.8466578
010140002,40.3851243,-111.8512988
010140005,40.3845034,-111.8518024
010140006,40.3845616,-111.8514791
010140007,40.3845085,-111.850906
010140008,40.384506,-111.8512262
010140009,40.3852538,-111.8509535
010140011,40.384753,-111.8512004
010140014,40.3850453,-111.8509439
010270013,40.3873619,-111.8494525
010390011,40.3889154,-111.8456483
010390015,40.3889397,-111.8450042
010390016,40.3887074,-111.844815
010390017,40.3889634,-111.8446787
010390019,40.3882152,-111.8453613
010390020,40.3883291,-111.8450378
010130011,40.3846691,-111.8499855
010130013,40.3846776,-111.8496731
010140001,40.3852248,-111.851739
010270002,40.3871527,-111.8496069
010270003,40.3868969,-111.8497424
010270004,40.3869495,-111.8501005
010270006,40.3868788,-111.8504225
010140020,40.3847649,-111.85089
010140021,40.3847572,-111.8510758
010150001,40.3847257,-111.8524083
010150007,40.3849923,-111.8523906
010150011,40.3844483,-111.8533826
010150015,40.3851967,-111.8534179
010280013,40.3875962,-111.8514948
010280015,40.3876269,-111.8508838
010280016,40.3876052,-111.8509942
010280019,40.3874986,-111.8508781
010280021,40.3868638,-111.8509754
010280022,40.3871105,-111.8509869
010280023,40.3871029,-111.8513105
010280024,40.3868564,-111.8512983
010280026,40.3873123,-111.8512627
010420007,40.3899654,-111.8452878
010270014,40.3873982,-111.8497775
010270015,40.387645,-111.8497892
010280003,40.3868434,-111.8519412
010280004,40.3868501,-111.8516203
010280005,40.387093,-111.8517937
010280006,40.3873365,-111.8518076
010280007,40.3875863,-111.8518075
010280008,40.3875781,-111.8520867
010280009,40.3875826,-111.8519481
010280010,40.3875906,-111.8517089
010410002,40.3895061,-111.8435328
010410003,40.389658,-111.8440307
010410004,40.3900974,-111.8437636
010410005,40.3898031,-111.8439843
010410006,40.3900905,-111.8440907
010410011,40.3901299,-111.8436685
010420004,40.3899822,-111.844715
010420005,40.3900787,-111.8456428
010420006,40.389974,-111.8450178
010540007,40.3911461,-111.8497403
010550001,40.3904522,-111.847829
010550002,40.3907014,-111.848118
010550003,40.3904446,-111.8481415
010550004,40.3911466,-111.8478461
010550005,40.3908977,-111.8478361
010550006,40.391079,-111.8481536
010550007,40.3910348,-111.8488586
010550008,40.3905396,-111.8488458
010550009,40.3910453,-111.8484161
010140016,40.3847585,-111.8518006
010140017,40.3849787,-111.851697
010140019,40.3848823,-111.8510202
010420021,40.3894069,-111.8456535
010420024,40.3897568,-111.8455849
010420030,40.3896052,-111.8447243
010420031,40.389359,-111.8447136
010430009,40.3900215,-111.8468828
010430017,40.3900407,-111.8462901
010580011,40.3913811,-111.8438956
010580014,40.3912389,-111.8441465
010580016,40.3913945,-111.8432584
010150018,40.3844749,-111.8524095
010150020,40.3844493,-111.8530603
010150022,40.3849517,-111.8533488
010150023,40.3845901,-111.8527437
010160005,40.3851792,-111.8541359
010280027,40.387377,-111.8510468
010290001,40.3874327,-111.8530329
010290002,40.3874219,-111.8534993
010290008,40.3872825,-111.8525438
010290009,40.3875291,-111.8525384
010290010,40.3875321,-111.8527153
010290011,40.3875321,-111.8527314
010290012,40.3868429,-111.8528475
010290013,40.3868488,-111.8525511
010430021,40.38956,-111.8460838
010430022,40.3896209,-111.846773
010440012,40.389639,-111.8483747
010450001,40.3896014,-111.8500272
010460002,40.3892056,-111.8510439
010460003,40.3894506,-111.8510731
010460004,40.3891875,-111.8517229
010460005,40.3891792,-111.8520433
010460006,40.3894311,-111.8518925
010520003,40.3903227,-111.85298
010520004,40.3904396,-111.8533217
010150024,40.3846994,-111.8533979
010150025,40.3849594,-111.8530106
010160001,40.3844414,-111.8541031
010160003,40.3850405,-111.8547597
010430019,40.3901712,-111.8466231
010580003,40.3905436,-111.8441564
010580004,40.3905881,-111.8438284
010580005,40.390804,-111.844053
010580006,40.3905665,-111.8431874
010580007,40.3908102,-111.843198
010580008,40.3906769,-111.8435217
010010004,40.3829075,-111.8502349
010010010,40.3824086,-111.8500573
010010011,40.3824154,-111.8494828
010010012,40.3828442,-111.8495971
010010013,40.3827497,-111.850235
010020001,40.3824606,-111.8513848
010020002,40.3827471,-111.8509605
010040003,40.3827058,-111.8559934
010040005,40.3826414,-111.8564454
010180008,40.3861773,-111.8558518
010180011,40.3862582,-111.8553776
010180012,40.3862504,-111.8555388
010180013,40.385946,-111.8555215
010180014,40.386008,-111.85552
010180015,40.3859614,-111.8552429
010190001,40.3856163,-111.8539923
010190002,40.3858625,-111.8540026
010190003,40.3857225,-111.8546494
010310004,40.3872125,-111.8564028
010520005,40.3903212,-111.853642
010520006,40.3905695,-111.8536498
010520007,40.3909427,-111.8532823
010520008,40.3910416,-111.8536162
010520009,40.3907925,-111.8536079
010520010,40.3908155,-111.8526968
010520011,40.3910562,-111.8527043
010160006,40.3849318,-111.8541276
010160007,40.3846865,-111.8541169
010160008,40.3843189,-111.8547526
010160009,40.3845541,-111.8547217
010170005,40.384997,-111.8563034
010170008,40.3851369,-111.8553239
010170011,40.3852625,-111.855387
010180002,40.3856714,-111.8563279
010180003,40.3861633,-111.8563513
010290014,40.3870653,-111.8527097
010300001,40.3872089,-111.8542186
010300003,40.3874845,-111.8542323
010300007,40.3870084,-111.8544057
010300008,40.386773,-111.8546081
010300010,40.386787,-111.8541258
010300011,40.3871436,-111.8548823
010300012,40.386771,-111.8550051
010460007,40.3899033,-111.851884
010460008,40.3898976,-111.8520992
010460009,40.3899082,-111.8516966
010460010,40.389655,-111.8519005
010460011,40.3899465,-111.851039
010460012,40.3899352,-111.8514631
010460013,40.389941,-111.8512461
010460014,40.3896946,-111.8512512
010460015,40.3894856,-111.8513917
010460016,40.3892426,-111.8513855
010310005,40.386956,-111.8565546
010310006,40.3867092,-111.8565413
010310007,40.3868479,-111.8562164
010310009,40.3867313,-111.8558836
010310010,40.3869278,-111.8558975
010310013,40.3874652,-111.8562446
010310015,40.3875705,-111.8567034
010860038,40.3962441,-111.8484411
010860039,40.3977542,-111.8493912
010860040,40.3974696,-111.8492217
010610003,40.3921732,-111.8467297
010610004,40.3920958,-111.8464664
010610008,40.3923619,-111.8463346
010680041,40.3953286,-111.8512095
010680042,40.3957427,-111.8520093
010680045,40.3930331,-111.8511999
010680046,40.3926738,-111.8511811
010680047,40.3933616,-111.8515505
010680048,40.3933661,-111.8512456
010680049,40.3931384,-111.8520672
010710028,40.393381,-111.8487222
010720001,40.3928211,-111.8463688
010720002,40.3927902,-111.8467191
010720003,40.3930707,-111.8463797
010720004,40.3930088,-111.8466871
010720005,40.3927654,-111.8472986
010720006,40.3930219,-111.8473095
010720007,40.3929056,-111.8469859
010720008,40.3934159,-111.8469844
010860041,40.3978621,-111.8496149
010870003,40.3964166,-111.8500766
010870005,40.397558,-111.8497823
010880001,40.3941173,-111.8427257
010610011,40.3920873,-111.8472878
010610012,40.3921474,-111.8469424
010620001,40.3916074,-111.8482481
010620002,40.3915476,-111.8478602
010620003,40.3916797,-111.8478661
010620004,40.3918542,-111.8480748
010680040,40.3938649,-111.8508832
010310016,40.3874571,-111.8565677
